training_size,accuracy
10,1.0
10,1.0
10,1.0
10,1.0
10,1.0
10,0.6
10,1.0
10,1.0
10,1.0
10,1.0
10,1.0
10,1.0
10,1.0
10,0.7333333333333333
10,1.0
10,1.0
10,1.0
10,0.2
10,1.0
10,1.0
10,0.5
10,1.0
10,0.5
10,1.0
10,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
20,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
30,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
40,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
50,1.0
