training_size,accuracy,hidden_neurons
10,0.5,1
10,0.6,1
10,0.43333333333333335,1
10,0.43333333333333335,1
10,0.6333333333333333,1
10,0.4666666666666667,1
10,0.6666666666666666,1
10,0.6,1
10,0.6,1
10,0.8,1
10,0.7333333333333333,1
10,0.5,1
10,0.6666666666666666,1
10,0.5666666666666667,1
10,0.6333333333333333,1
10,0.7,1
10,0.9,1
10,0.4666666666666667,1
10,0.9,1
10,0.5666666666666667,1
10,0.4666666666666667,1
10,0.7,1
10,0.4,1
10,0.7333333333333333,1
10,0.6666666666666666,1
20,0.9666666666666667,1
20,0.4666666666666667,1
20,0.4,1
20,0.7666666666666667,1
20,0.7333333333333333,1
20,0.6333333333333333,1
20,0.7666666666666667,1
20,0.7,1
20,0.7,1
20,0.43333333333333335,1
20,0.6666666666666666,1
20,0.5,1
20,0.43333333333333335,1
20,0.5333333333333333,1
20,0.4,1
20,0.6,1
20,0.7666666666666667,1
20,0.4666666666666667,1
20,0.8333333333333334,1
20,0.6333333333333333,1
20,0.43333333333333335,1
20,0.8666666666666667,1
20,0.43333333333333335,1
20,0.8,1
20,0.6333333333333333,1
30,0.36666666666666664,1
30,0.7666666666666667,1
30,0.7,1
30,0.5666666666666667,1
30,0.8333333333333334,1
30,0.6,1
30,0.7666666666666667,1
30,0.8333333333333334,1
30,0.7,1
30,0.6666666666666666,1
30,0.36666666666666664,1
30,0.6,1
30,0.36666666666666664,1
30,0.6666666666666666,1
30,0.36666666666666664,1
30,0.43333333333333335,1
30,0.7333333333333333,1
30,0.5666666666666667,1
30,0.7333333333333333,1
30,0.7666666666666667,1
30,0.4,1
30,0.9666666666666667,1
30,0.8,1
30,0.4666666666666667,1
30,0.9333333333333333,1
40,0.5333333333333333,1
40,0.7333333333333333,1
40,0.5333333333333333,1
40,0.7333333333333333,1
40,0.7,1
40,0.7,1
40,0.7333333333333333,1
40,0.5,1
40,0.7,1
40,0.8,1
40,0.43333333333333335,1
40,0.6333333333333333,1
40,0.5333333333333333,1
40,0.8666666666666667,1
40,0.8333333333333334,1
40,0.4666666666666667,1
40,0.6,1
40,0.6,1
40,0.7333333333333333,1
40,0.43333333333333335,1
40,0.5666666666666667,1
40,0.5666666666666667,1
40,0.8666666666666667,1
40,0.26666666666666666,1
40,0.5666666666666667,1
50,0.4,1
50,0.8333333333333334,1
50,0.7333333333333333,1
50,0.5666666666666667,1
50,0.6333333333333333,1
50,0.3333333333333333,1
50,0.5333333333333333,1
50,0.43333333333333335,1
50,0.6333333333333333,1
50,0.8,1
50,0.7333333333333333,1
50,0.6666666666666666,1
50,0.5333333333333333,1
50,0.36666666666666664,1
50,0.8,1
50,0.7666666666666667,1
50,0.7,1
50,0.5,1
50,0.7666666666666667,1
50,0.7333333333333333,1
50,0.7,1
50,0.7333333333333333,1
50,0.8,1
50,0.8333333333333334,1
50,0.4,1
10,0.5,3
10,1.0,3
10,0.5,3
10,0.4666666666666667,3
10,0.6666666666666666,3
10,0.6666666666666666,3
10,0.8,3
10,0.4,3
10,0.8666666666666667,3
10,0.9333333333333333,3
10,0.5666666666666667,3
10,0.6333333333333333,3
10,0.6333333333333333,3
10,0.5666666666666667,3
10,0.4,3
10,0.7,3
10,0.7333333333333333,3
10,0.4,3
10,0.6,3
10,0.6333333333333333,3
10,0.5,3
10,0.6333333333333333,3
10,0.23333333333333334,3
10,0.8333333333333334,3
10,0.8666666666666667,3
20,1.0,3
20,0.9,3
20,0.36666666666666664,3
20,1.0,3
20,0.6333333333333333,3
20,0.9666666666666667,3
20,1.0,3
20,0.6,3
20,0.8666666666666667,3
20,1.0,3
20,1.0,3
20,0.5,3
20,1.0,3
20,1.0,3
20,0.5,3
20,0.7,3
20,1.0,3
20,0.8,3
20,1.0,3
20,0.9333333333333333,3
20,0.7333333333333333,3
20,0.9,3
20,0.7666666666666667,3
20,0.6333333333333333,3
20,0.8333333333333334,3
30,1.0,3
30,0.6666666666666666,3
30,1.0,3
30,1.0,3
30,1.0,3
30,1.0,3
30,1.0,3
30,0.8666666666666667,3
30,0.7666666666666667,3
30,1.0,3
30,1.0,3
30,1.0,3
30,1.0,3
30,1.0,3
30,0.9666666666666667,3
30,0.3333333333333333,3
30,1.0,3
30,1.0,3
30,1.0,3
30,0.9666666666666667,3
30,0.8,3
30,0.8666666666666667,3
30,1.0,3
30,0.43333333333333335,3
30,0.8333333333333334,3
40,1.0,3
40,1.0,3
40,1.0,3
40,1.0,3
40,1.0,3
40,0.6666666666666666,3
40,1.0,3
40,1.0,3
40,1.0,3
40,1.0,3
40,1.0,3
40,0.6666666666666666,3
40,0.4,3
40,1.0,3
40,0.8,3
40,0.8666666666666667,3
40,1.0,3
40,0.4666666666666667,3
40,0.9333333333333333,3
40,1.0,3
40,1.0,3
40,1.0,3
40,1.0,3
40,0.9666666666666667,3
40,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
50,0.6666666666666666,3
50,1.0,3
50,1.0,3
50,1.0,3
50,0.8333333333333334,3
50,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
50,1.0,3
